Filename	Mandeep	Prakul
beb8660c.png	1	1
c0f76784.png	1	1
c1d99e64.png	1	1
c3f564a4.png	1	1
c8f0f002.png	1	1
c9e6f938.png	1	1
c9f8e694.png	1	1
c59eb873.png	1	1
c444b776.png	0	0
c909285e.png	1	1
caa06a1f.png	0	0
cbded52d.png	1	1
cdecee7f.png	1	1
ce4f8723.png	1	1
ce9e57f2.png	1	1
ce22a75a.png	1	1
cf98881b.png	1	1
d0f5fe59.png	0	0
d2abd087.png	0	0
d4a91cb9.png	1	1
d4f3cd78.png	1	1
d5d6de2d.png	1	1
d06dbe63.png	1	1
d8c310e9.png	1	1
d9f24cd1.png	1	1
d9fac9be.png	0	1
d10ecb37.png	1	1
d13f3404.png	1	1
d23f8c26.png	1	1
d037b0a7.png	1	1
d43fd935.png	1	1
d89b689b.png	1	1
d364b489.png	1	1
d511f180.png	1	1
d631b094.png	1	1
d4469b4b.png	1	1
d90796e8.png	1	1
d406998b.png	1	1
dae9d2b5.png	1	1
db3e9e38.png	1	1
dbc1a6ce.png	1	1
dc1df850.png	1	1
dc433765.png	0	1
ddf7fa4f.png	1	1
de1cd16c.png	1	1
e9afcf9a.png	1	1
e76a88a6.png	1	1
e73095fd.png	0	0
e98196ab.png	1	1
e9614598.png	1	1
